,dates,names,points
0,20180126,원더,9.40
1,20180126,위대한 쇼맨,9.39
2,20180126,아이 캔 스피크,9.34
3,20180126,1987,9.28
4,20180126,마지막 황제,9.22
5,20180126,킹 오브 프리즘 한국어판,9.22
6,20180126,러빙 빈센트,9.19
7,20180126,뽀로로 극장판 공룡섬 대모험,9.17
8,20180126,내 사랑,9.17
9,20180126,코코,9.16
10,20180126,이터널 선샤인,9.10
11,20180126,러브레터,9.10
12,20180126,번지 점프를 하다,9.01
13,20180126,1급기밀,8.97
14,20180126,그것만이 내 세상,8.95
15,20180126,페르디난드,8.91
16,20180126,벤자민 버튼의 시간은 거꾸로 간다,8.87
17,20180126,극장판 포켓몬스터 너로 정했다!,8.86
18,20180126,"안녕, 나의 소울메이트",8.84
19,20180126,너의 이름은.,8.75
20,20180126,맨체스터 바이 더 씨,8.71
21,20180126,마미,8.68
22,20180126,커뮤터,8.65
23,20180126,라라랜드,8.60
24,20180126,문영,8.54
25,20180126,지옥의 묵시록,8.42
26,20180126,강철비,8.42
27,20180126,패터슨,8.33
28,20180126,메이즈 러너: 데스 큐어,8.26
29,20180126,세 번째 살인,8.08
30,20180126,쥬만지: 새로운 세계,8.04
31,20180126,신과함께-죄와 벌,8.01
32,20180126,너의 췌장을 먹고 싶어,7.97
33,20180126,수면의 과학,7.95
34,20180126,직쏘,7.45
35,20180126,"쏘아올린 불꽃, 밑에서 볼까? 옆에서 볼까?",7.20
36,20180126,스타워즈: 라스트 제다이,6.96
37,20180126,다운사이징,5.87
38,20180126,주문은 토끼입니까?? ~디어 마이 시스터~,4.34
39,20180127,원더,9.41
40,20180127,위대한 쇼맨,9.39
41,20180127,아이 캔 스피크,9.34
42,20180127,1987,9.28
43,20180127,마지막 황제,9.22
44,20180127,킹 오브 프리즘 한국어판,9.22
45,20180127,러빙 빈센트,9.19
46,20180127,뽀로로 극장판 공룡섬 대모험,9.17
47,20180127,내 사랑,9.17
48,20180127,코코,9.17
49,20180127,이터널 선샤인,9.10
50,20180127,러브레터,9.10
51,20180127,번지 점프를 하다,9.01
52,20180127,그것만이 내 세상,8.97
53,20180127,1급기밀,8.96
54,20180127,페르디난드,8.91
55,20180127,벤자민 버튼의 시간은 거꾸로 간다,8.87
56,20180127,극장판 포켓몬스터 너로 정했다!,8.86
57,20180127,"안녕, 나의 소울메이트",8.84
58,20180127,너의 이름은.,8.75
59,20180127,맨체스터 바이 더 씨,8.71
60,20180127,마미,8.68
61,20180127,커뮤터,8.62
62,20180127,라라랜드,8.60
63,20180127,문영,8.55
64,20180127,지옥의 묵시록,8.42
65,20180127,강철비,8.41
66,20180127,패터슨,8.33
67,20180127,메이즈 러너: 데스 큐어,8.23
68,20180127,메소드,8.13
69,20180127,세 번째 살인,8.07
70,20180127,쥬만지: 새로운 세계,8.04
71,20180127,신과함께-죄와 벌,8.01
72,20180127,너의 췌장을 먹고 싶어,7.98
73,20180127,수면의 과학,7.96
74,20180127,직쏘,7.44
75,20180127,"쏘아올린 불꽃, 밑에서 볼까? 옆에서 볼까?",7.20
76,20180127,스타워즈: 라스트 제다이,6.95
77,20180127,다운사이징,5.84
78,20180127,주문은 토끼입니까?? ~디어 마이 시스터~,4.37
79,20180128,원더,9.41
80,20180128,위대한 쇼맨,9.39
81,20180128,아이 캔 스피크,9.34
82,20180128,1987,9.28
83,20180128,비밥바룰라,9.24
84,20180128,마지막 황제,9.22
85,20180128,킹 오브 프리즘 한국어판,9.22
86,20180128,러빙 빈센트,9.19
87,20180128,뽀로로 극장판 공룡섬 대모험,9.18
88,20180128,코코,9.17
89,20180128,내 사랑,9.17
90,20180128,이터널 선샤인,9.10
91,20180128,러브레터,9.10
92,20180128,번지 점프를 하다,9.01
93,20180128,1급기밀,9.01
94,20180128,그것만이 내 세상,8.98
95,20180128,페르디난드,8.92
96,20180128,벤자민 버튼의 시간은 거꾸로 간다,8.87
97,20180128,극장판 포켓몬스터 너로 정했다!,8.86
98,20180128,"안녕, 나의 소울메이트",8.84
99,20180128,너의 이름은.,8.75
100,20180128,맨체스터 바이 더 씨,8.71
101,20180128,마미,8.68
102,20180128,라라랜드,8.60
103,20180128,커뮤터,8.55
104,20180128,문영,8.55
105,20180128,지옥의 묵시록,8.42
106,20180128,강철비,8.41
107,20180128,패터슨,8.33
108,20180128,메이즈 러너: 데스 큐어,8.18
109,20180128,세 번째 살인,8.07
110,20180128,쥬만지: 새로운 세계,8.04
111,20180128,신과함께-죄와 벌,8.01
112,20180128,너의 췌장을 먹고 싶어,7.98
113,20180128,수면의 과학,7.96
114,20180128,직쏘,7.42
115,20180128,"쏘아올린 불꽃, 밑에서 볼까? 옆에서 볼까?",7.21
116,20180128,스타워즈: 라스트 제다이,6.96
117,20180128,다운사이징,5.73
118,20180128,주문은 토끼입니까?? ~디어 마이 시스터~,4.36
119,20180129,원더,9.40
120,20180129,위대한 쇼맨,9.39
121,20180129,동주,9.35
122,20180129,아이 캔 스피크,9.34
123,20180129,비밥바룰라,9.32
124,20180129,1987,9.28
125,20180129,킹 오브 프리즘 한국어판,9.22
